ozma_of_oz_01_f000001|My friends the children are responsible for this new Oz Book, as they were for the last one, which was called The Land of Oz.|My friends the children are responsible for this new Oz Book, as they were for the last one, which was called The Land of Oz.
ozma_of_oz_01_f000002|Their sweet little letters plead to know more about Dorothy; and they ask: What became of the Cowardly Lion? and What did Ozma do afterward? meaning,|Their sweet little letters plead to know more about Dorothy; and they ask: What became of the Cowardly Lion? and What did Ozma do afterward? meaning,
ozma_of_oz_01_f000003|of course, after she became the Ruler of Oz.|of course, after she became the Ruler of Oz.
ozma_of_oz_01_f000004|And some of them suggest plots to me, saying: Please have Dorothy go to the Land of Oz again; or, Why don't you make Ozma and Dorothy meet, and have a good time together?|And some of them suggest plots to me, saying: Please have Dorothy go to the Land of Oz again; or, Why don't you make Ozma and Dorothy meet, and have a good time together?
ozma_of_oz_01_f000005|Indeed, could I do all that my little friends ask, I would be obliged to write dozens of books to satisfy their demands.|Indeed, could I do all that my little friends ask, I would be obliged to write dozens of books to satisfy their demands.
ozma_of_oz_01_f000006|And I wish I could, for I enjoy writing these stories just as much as the children say they enjoy reading them.|And I wish I could, for I enjoy writing these stories just as much as the children say they enjoy reading them.
ozma_of_oz_01_f000007|Well, here is more about Dorothy, and about our old friends the Scarecrow and the Tin Woodman, and about the Cowardly Lion, and Ozma, and all the rest of them;|Well, here is more about Dorothy, and about our old friends the Scarecrow and the Tin Woodman, and about the Cowardly Lion, and Ozma, and all the rest of them;
ozma_of_oz_01_f000008|and here, likewise, is a good deal about some new folks that are queer and unusual.|and here, likewise, is a good deal about some new folks that are queer and unusual.
ozma_of_oz_01_f000009|One little friend, who read this story before it was printed, said to me: Billina is REAL OZZY, mister Baum, and so are Tiktok and the Hungry Tiger.|One little friend, who read this story before it was printed, said to me: Billina is REAL OZZY, mister Baum, and so are Tiktok and the Hungry Tiger.
ozma_of_oz_01_f000010|If this judgment is unbiased and correct, and the little folks find this new story real Ozzy, I shall be very glad indeed that I wrote it.|If this judgment is unbiased and correct, and the little folks find this new story real Ozzy, I shall be very glad indeed that I wrote it.
ozma_of_oz_01_f000011|But perhaps I shall get some more of those very welcome letters from my readers, telling me just how they like Ozma of Oz. I hope so, anyway.|But perhaps I shall get some more of those very welcome letters from my readers, telling me just how they like Ozma of Oz. I hope so, anyway.
ozma_of_oz_01_f000012|L FRANK BAUM.|L FRANK BAUM.
ozma_of_oz_01_f000013|MACATAWA, 1907.|MACATAWA, nineteen oh seven.
ozma_of_oz_01_f000014|Chapter 1. The Girl in the Chicken Coop.|Chapter one. The Girl in the Chicken Coop.
ozma_of_oz_01_f000015|The wind blew hard and joggled the water of the ocean, sending ripples across its surface. Then the wind pushed the edges of the ripples until they became waves,|The wind blew hard and joggled the water of the ocean, sending ripples across its surface. Then the wind pushed the edges of the ripples until they became waves,
ozma_of_oz_01_f000016|and shoved the waves around until they became billows.|and shoved the waves around until they became billows.
ozma_of_oz_01_f000017|The billows rolled dreadfully high: higher even than the tops of houses. Some of them, indeed, rolled as high as the tops of tall trees, and seemed like mountains;|The billows rolled dreadfully high: higher even than the tops of houses. Some of them, indeed, rolled as high as the tops of tall trees, and seemed like mountains;
ozma_of_oz_01_f000018|and the gulfs between the great billows were like deep valleys.|and the gulfs between the great billows were like deep valleys.
ozma_of_oz_01_f000019|All this mad dashing and splashing of the waters of the big ocean, which the mischievous wind caused without any good reason whatever, resulted in a terrible storm,|All this mad dashing and splashing of the waters of the big ocean, which the mischievous wind caused without any good reason whatever, resulted in a terrible storm,
ozma_of_oz_01_f000020|and a storm on the ocean is liable to cut many queer pranks and do a lot of damage.|and a storm on the ocean is liable to cut many queer pranks and do a lot of damage.
ozma_of_oz_01_f000021|At the time the wind began to blow, a ship was sailing far out upon the waters. When the waves began to tumble and toss and to grow bigger and bigger the ship rolled up and down,|At the time the wind began to blow, a ship was sailing far out upon the waters. When the waves began to tumble and toss and to grow bigger and bigger the ship rolled up and down,
ozma_of_oz_01_f000022|and tipped sidewise first one way and then the other and was jostled around so roughly that even the sailor-men had to hold fast to the ropes and railings to keep themselves from being swept away by the wind or pitched headlong into the sea.|and tipped sidewise first one way and then the other and was jostled around so roughly that even the sailor-men had to hold fast to the ropes and railings to keep themselves from being swept away by the wind or pitched headlong into the sea.
