the_master_key_01_f000001|The Master Key.|The Master Key.
the_master_key_01_f000002|An Electrical Fairy Tale.|An Electrical Fairy Tale.
the_master_key_01_f000003|Founded Upon The Mysteries Of Electricity And The Optimism Of Its Devotees.|Founded Upon The Mysteries Of Electricity And The Optimism Of Its Devotees.
the_master_key_01_f000004|It Was Written For Boys, But Others May Read It by L. Frank Baum.|It Was Written For Boys, But Others May Read It by L. Frank Baum.
the_master_key_01_f000005|Who Knows?|Who Knows?
the_master_key_01_f000006|These things are quite improbable, to be sure; but are they impossible?|These things are quite improbable, to be sure; but are they impossible?
the_master_key_01_f000007|Our big world rolls over as smoothly as it did centuries ago, without a squeak to show it needs oiling after all these years of revolution.|Our big world rolls over as smoothly as it did centuries ago, without a squeak to show it needs oiling after all these years of revolution.
the_master_key_01_f000008|But times change because men change, and because civilization, like John Brown's soul, goes ever marching on.|But times change because men change, and because civilization, like John Brown's soul, goes ever marching on.
the_master_key_01_f000009|The impossibilities of yesterday become the accepted facts of to-day.|The impossibilities of yesterday become the accepted facts of to-day.
the_master_key_01_f000010|Here is a fairy tale founded upon the wonders of electricity and written for children of this generation.|Here is a fairy tale founded upon the wonders of electricity and written for children of this generation.
the_master_key_01_f000011|Yet when my readers shall have become men and women my story may not seem to their children like a fairy tale at all.|Yet when my readers shall have become men and women my story may not seem to their children like a fairy tale at all.
the_master_key_01_f000012|Perhaps one, perhaps two-perhaps several of the Demon's devices will be, by that time, in popular use.|Perhaps one, perhaps two-perhaps several of the Demon's devices will be, by that time, in popular use.
the_master_key_01_f000013|Who knows?|Who knows?
the_master_key_01_f000014|Chapter 1.|Chapter one.
the_master_key_01_f000015|Rob's Workshop.|Rob's Workshop.
the_master_key_01_f000016|When Rob became interested in electricity his clear-headed father considered the boy's fancy to be instructive as well as amusing; so he heartily encouraged his son, and Rob never lacked batteries, motors or supplies of any sort that his experiments might require.|When Rob became interested in electricity his clear-headed father considered the boy's fancy to be instructive as well as amusing; so he heartily encouraged his son, and Rob never lacked batteries, motors or supplies of any sort that his experiments might require.
the_master_key_01_f000017|He fitted up the little back room in the attic as his workshop, and from thence a net-work of wires soon ran throughout the house.|He fitted up the little back room in the attic as his workshop, and from thence a net-work of wires soon ran throughout the house.
