silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_01_f000002|It has always seemed strange to me that no one has ever endowed a professorship in criminal science in any of our large universities.|It has always seemed strange to me that no one has ever endowed a professorship in criminal science in any of our large universities.
silent_bullet_01_f000003|Craig Kennedy laid down his evening paper and filled his pipe with my tobacco. In college we had roomed together, had shared everything, even poverty,|Craig Kennedy laid down his evening paper and filled his pipe with my tobacco. In college we had roomed together, had shared everything, even poverty,
silent_bullet_01_f000004|and now that Craig was a professor of chemistry and I was on the staff of the Star, we had continued the arrangement.|and now that Craig was a professor of chemistry and I was on the staff of the Star, we had continued the arrangement.
silent_bullet_01_f000005|Prosperity found us in a rather neat bachelor apartment on the Heights, not far from the University.|Prosperity found us in a rather neat bachelor apartment on the Heights, not far from the University.
silent_bullet_01_f000006|Why should there be a chair in criminal science? I remarked argumentatively, settling back in my chair. I’ve done my turn at police headquarters reporting,|Why should there be a chair in criminal science? I remarked argumentatively, settling back in my chair. Ive done my turn at police headquarters reporting,
silent_bullet_01_f000007|and I can tell you, Craig, it’s no place for a college professor.|and I can tell you, Craig, its no place for a college professor.
silent_bullet_01_f000008|Crime is just crime. And as for dealing with it, the good detective is born and bred to it. College professors for the sociology of the thing, yes;|Crime is just crime. And as for dealing with it, the good detective is born and bred to it. College professors for the sociology of the thing, yes;
silent_bullet_01_f000009|for the detection of it, give me a Byrnes.|for the detection of it, give me a Byrnes.
silent_bullet_01_f000010|On the contrary, replied Kennedy, his clean-cut features betraying an earnestness which I knew indicated that he was leading up to something important,|On the contrary, replied Kennedy, his clean-cut features betraying an earnestness which I knew indicated that he was leading up to something important,
silent_bullet_01_f000011|there is a distinct place for science in the detection of crime.|there is a distinct place for science in the detection of crime.
silent_bullet_01_f000012|On the Continent they are far in advance of us in that respect.|On the Continent they are far in advance of us in that respect.
silent_bullet_01_f000013|We are mere children beside a dozen crime-specialists in Paris, whom I could name.|We are mere children beside a dozen crime-specialists in Paris, whom I could name.
silent_bullet_01_f000014|Yes, but where does the college professor come in? I asked, rather doubtfully.|Yes, but where does the college professor come in? I asked, rather doubtfully.
silent_bullet_01_f000015|You must remember, Walter, he pursued, warming up to his subject, that it’s only within the last ten years or so that we have had the really practical college professor who could do it.|You must remember, Walter, he pursued, warming up to his subject, that its only within the last ten years or so that we have had the really practical college professor who could do it.
silent_bullet_01_f000016|The silk-stockinged variety is out of date now. To-day it is the college professor who is the third arbitrator in labour disputes, who reforms our currency,|The silk-stockinged variety is out of date now. To-day it is the college professor who is the third arbitrator in labour disputes, who reforms our currency,
silent_bullet_01_f000017|who heads our tariff commissions, and conserves our farms and forests.|who heads our tariff commissions, and conserves our farms and forests.
silent_bullet_01_f000018|We have professors of everything - why not professors of crime?|We have professors of everything - why not professors of crime?
silent_bullet_01_f000019|Still, as I shook my head dubiously, he hurried on to clinch his point.|Still, as I shook my head dubiously, he hurried on to clinch his point.
silent_bullet_01_f000020|Colleges have gone a long way from the old ideal of pure culture. They have got down to solving the hard facts of life - pretty nearly all, except one.|Colleges have gone a long way from the old ideal of pure culture. They have got down to solving the hard facts of life - pretty nearly all, except one.
silent_bullet_01_f000021|They still treat crime in the old way, study its statistics and pore over its causes and the theories of how it can be prevented.|They still treat crime in the old way, study its statistics and pore over its causes and the theories of how it can be prevented.
silent_bullet_01_f000022|But as for running the criminal himself down, scientifically, relentlessly - bah! we haven’t made an inch of progress since the hammer and tongs method of your Byrnes.|But as for running the criminal himself down, scientifically, relentlessly - bah! we havent made an inch of progress since the hammer and tongs method of your Byrnes.
silent_bullet_01_f000023|Doubtless you will write a thesis on this most interesting subject, I suggested, and let it go at that.|Doubtless you will write a thesis on this most interesting subject, I suggested, and let it go at that.
silent_bullet_01_f000024|No, I am serious, he replied, determined for some reason or other to make a convert of me. I mean exactly what I say. I am going to apply science to the detection of crime,|No, I am serious, he replied, determined for some reason or other to make a convert of me. I mean exactly what I say. I am going to apply science to the detection of crime,
silent_bullet_01_f000025|the same sort of methods by which you trace out the presence of a chemical, or run an unknown germ to earth.|the same sort of methods by which you trace out the presence of a chemical, or run an unknown germ to earth.
silent_bullet_01_f000026|And before I have gone far, I am going to enlist Walter Jameson as an aide. I think I shall need you in my business.|And before I have gone far, I am going to enlist Walter Jameson as an aide. I think I shall need you in my business.
silent_bullet_01_f000027|How do I come in?|How do I come in?
silent_bullet_01_f000028|Well, for one thing, you will get a scoop, a beat, - whatever you call it in that newspaper jargon of yours.|Well, for one thing, you will get a scoop, a beat, - whatever you call it in that newspaper jargon of yours.
silent_bullet_01_f000029|I smiled in a skeptical way, such as newspapermen are wont to affect toward a thing until it is done - after which we make a wild scramble to exploit it.|I smiled in a skeptical way, such as newspapermen are wont to affect toward a thing until it is done - after which we make a wild scramble to exploit it.
silent_bullet_01_f000030|Nothing more on the subject passed between us for several days.|Nothing more on the subject passed between us for several days.
silent_bullet_02_f000001|The Silent Bullet.|The Silent Bullet.
silent_bullet_02_f000002|Detectives in fiction nearly always make a great mistake, said Kennedy one evening after our first conversation on crime and science.|Detectives in fiction nearly always make a great mistake, said Kennedy one evening after our first conversation on crime and science.
silent_bullet_02_f000003|They almost invariably antagonize the regular detective force. Now in real life that’s impossible - it’s fatal.|They almost invariably antagonize the regular detective force. Now in real life thats impossible - its fatal.
silent_bullet_02_f000004|Yes, I agreed, looking up from reading an account of the failure of a large Wall Street brokerage house, Kerr Parker & Co.|Yes, I agreed, looking up from reading an account of the failure of a large Wall Street brokerage house, Kerr Parker  Co.
silent_bullet_02_f000005|, and the peculiar suicide of Kerr Parker. Yes, it’s impossible, just as it is impossible for the regular detectives to antagonize the newspapers.|, and the peculiar suicide of Kerr Parker. Yes, its impossible, just as it is impossible for the regular detectives to antagonize the newspapers.
silent_bullet_02_f000006|Scotland Yard found that out in the Crippen case.|Scotland Yard found that out in the Crippen case.
silent_bullet_02_f000007|My idea of the thing, Jameson, continued Kennedy, is that the professor of criminal science ought to work with, not against, the regular detectives.|My idea of the thing, Jameson, continued Kennedy, is that the professor of criminal science ought to work with, not against, the regular detectives.
silent_bullet_02_f000008|They’re all right. They’re indispensable, of course.|Theyre all right. Theyre indispensable, of course.
silent_bullet_02_f000009|Half the secret of success nowadays is organisation. The professor of criminal science should be merely what the professor in a technical school often is - a sort of consulting engineer.|Half the secret of success nowadays is organisation. The professor of criminal science should be merely what the professor in a technical school often is - a sort of consulting engineer.
silent_bullet_02_f000010|For instance, I believe that organisation plus science would go far toward clearing up that Wall Street case I see you are reading.|For instance, I believe that organisation plus science would go far toward clearing up that Wall Street case I see you are reading.
silent_bullet_02_f000011|I expressed some doubt as to whether the regular police were enlightened enough to take that view of it.|I expressed some doubt as to whether the regular police were enlightened enough to take that view of it.
silent_bullet_02_f000012|Some of them are, he replied. Yesterday the chief of police in a Western city sent a man East to see me about the Price murder: you know the case?|Some of them are, he replied. Yesterday the chief of police in a Western city sent a man East to see me about the Price murder: you know the case?
