poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_01_f000002|Kennedy's suit-case was lying open on the bed, and he was literally throwing things into it from his chiffonier, as I entered after a hurried trip up-town from the Star office in response to an urgent message from him.|Kennedy's suit-case was lying open on the bed, and he was literally throwing things into it from his chiffonier, as I entered after a hurried trip up-town from the Star office in response to an urgent message from him.
poisoned_pen_01_f000003|Come, Walter, he cried, hastily stuffing in a package of clean laundry without taking off the wrapping-paper, I've got your suit-case out.|Come, Walter, he cried, hastily stuffing in a package of clean laundry without taking off the wrapping-paper, I've got your suit-case out.
poisoned_pen_01_f000004|Pack up whatever you can in five minutes. We must take the six o'clock train for Danbridge.|Pack up whatever you can in five minutes. We must take the six o'clock train for Danbridge.
poisoned_pen_01_f000005|I did not wait to hear any more. The mere mention of the name of the quaint and quiet little Connecticut town was sufficient.|I did not wait to hear any more. The mere mention of the name of the quaint and quiet little Connecticut town was sufficient.
poisoned_pen_01_f000006|For Danbridge was on everybody's lips at that time. It was the scene of the now famous Danbridge poisoning case - a brutal case in which the pretty little actress,|For Danbridge was on everybody's lips at that time. It was the scene of the now famous Danbridge poisoning case - a brutal case in which the pretty little actress,
poisoned_pen_01_f000007|Vera Lytton, had been the victim.|Vera Lytton, had been the victim.
poisoned_pen_01_f000008|I've been retained by Senator Adrian Willard, he called from his room, as I was busy packing in mine. The Willard family believe that that young doctor Dixon is the victim of a conspiracy - or at least Alma Willard does,|I've been retained by Senator Adrian Willard, he called from his room, as I was busy packing in mine. The Willard family believe that that young doctor Dixon is the victim of a conspiracy - or at least Alma Willard does,
poisoned_pen_01_f000009|which comes to the same thing, and - well, the senator called me up on long-distance and offered me anything I would name in reason to take the case.|which comes to the same thing, and - well, the senator called me up on long-distance and offered me anything I would name in reason to take the case.
poisoned_pen_01_f000010|Are you ready? Come on, then. We've simply got to make that train.|Are you ready? Come on, then. We've simply got to make that train.
poisoned_pen_01_f000011|As we settled ourselves in the smoking-compartment of the Pullman, which for some reason or other we had to ourselves, Kennedy spoke again for the first time since our frantic dash across the city to catch the train.|As we settled ourselves in the smoking-compartment of the Pullman, which for some reason or other we had to ourselves, Kennedy spoke again for the first time since our frantic dash across the city to catch the train.
poisoned_pen_01_f000012|Now let us see, Walter, he began. We've both read a good deal about this case in the papers. Let's try to get our knowledge in an orderly shape before we tackle the actual case itself.|Now let us see, Walter, he began. We've both read a good deal about this case in the papers. Let's try to get our knowledge in an orderly shape before we tackle the actual case itself.
poisoned_pen_01_f000013|Ever been in Danbridge? I asked.|Ever been in Danbridge? I asked.
poisoned_pen_01_f000014|Never, he replied. What sort of place is it?|Never, he replied. What sort of place is it?
poisoned_pen_01_f000015|Mighty interesting, I answered; a combination of old New England and new, of ancestors and factories, of wealth and poverty, and above all it is interesting for its colony of New-Yorkers - what shall I call it?|Mighty interesting, I answered; a combination of old New England and new, of ancestors and factories, of wealth and poverty, and above all it is interesting for its colony of New-Yorkers - what shall I call it?
poisoned_pen_01_f000016|- a literary-artistic-musical combination, I guess.|- a literary-artistic-musical combination, I guess.
poisoned_pen_01_f000017|Yes, he resumed, I thought as much. Vera Lytton belonged to the colony. A very talented girl, too - you remember her in The Taming of the New Woman last season?|Yes, he resumed, I thought as much. Vera Lytton belonged to the colony. A very talented girl, too - you remember her in The Taming of the New Woman last season?
poisoned_pen_01_f000018|Well, to get back to the facts as we know them at present.|Well, to get back to the facts as we know them at present.
poisoned_pen_01_f000019|Here is a girl with a brilliant future on the stage discovered by her friend, Missis Boncour, in convulsions - practically insensible - with a bottle of headache-powder and a jar of ammonia on her dressing-table.|Here is a girl with a brilliant future on the stage discovered by her friend, Missis Boncour, in convulsions - practically insensible - with a bottle of headache-powder and a jar of ammonia on her dressing-table.
poisoned_pen_01_f000020|Missis Boncour sends the maid for the nearest doctor, who happens to be a doctor Waterworth. Meanwhile she tries to restore Miss Lytton, but with no result.|Missis Boncour sends the maid for the nearest doctor, who happens to be a doctor Waterworth. Meanwhile she tries to restore Miss Lytton, but with no result.
poisoned_pen_01_f000021|She smells the ammonia and then just tastes the headache-powder, a very foolish thing to do, for by the time doctor Waterworth arrives he has two patients.|She smells the ammonia and then just tastes the headache-powder, a very foolish thing to do, for by the time doctor Waterworth arrives he has two patients.
poisoned_pen_01_f000022|No, I corrected, only one, for Miss Lytton was dead when he arrived, according to his latest statement.|No, I corrected, only one, for Miss Lytton was dead when he arrived, according to his latest statement.
poisoned_pen_01_f000023|Very well, then - one. He arrives, Missis Boncour is ill, the maid knows nothing at all about it, and Vera Lytton is dead. He, too, smells the ammonia,|Very well, then - one. He arrives, Missis Boncour is ill, the maid knows nothing at all about it, and Vera Lytton is dead. He, too, smells the ammonia,
poisoned_pen_01_f000024|tastes the headache-powder - just the merest trace - and then he has two patients, one of them himself.|tastes the headache-powder - just the merest trace - and then he has two patients, one of them himself.
poisoned_pen_01_f000025|We must see him, for his experience must have been appalling. How he ever did it I can't imagine, but he saved both himself and Missis|We must see him, for his experience must have been appalling. How he ever did it I can't imagine, but he saved both himself and Missis
poisoned_pen_01_f000026|Boncour from poisoning - cyanide, the papers say, but of course we can't accept that until we see. It seems to me, Walter, that lately the papers have made the rule in murder cases:|Boncour from poisoning - cyanide, the papers say, but of course we can't accept that until we see. It seems to me, Walter, that lately the papers have made the rule in murder cases:
poisoned_pen_01_f000027|When in doubt, call it cyanide.|When in doubt, call it cyanide.
poisoned_pen_01_f000028|Not relishing Kennedy in the humour of expressing his real opinion of the newspapers, I hastily turned the conversation back again by asking,|Not relishing Kennedy in the humour of expressing his real opinion of the newspapers, I hastily turned the conversation back again by asking,
poisoned_pen_01_f000029|How about the note from doctor Dixon?|How about the note from doctor Dixon?
poisoned_pen_01_f000030|Ah, there is the crux of the whole case - that note from Dixon.|Ah, there is the crux of the whole case - that note from Dixon.
poisoned_pen_01_f000031|Let us see. doctor Dixon is, if I am informed correctly, of a fine and aristocratic family, though not wealthy. I believe it has been established that while he was an interne in a city hospital he became acquainted with Vera Lytton,|Let us see. doctor Dixon is, if I am informed correctly, of a fine and aristocratic family, though not wealthy. I believe it has been established that while he was an interne in a city hospital he became acquainted with Vera Lytton,
poisoned_pen_01_f000032|after her divorce from that artist Thurston.|after her divorce from that artist Thurston.
poisoned_pen_01_f000033|Then comes his removal to Danbridge and his meeting and later his engagement with Miss Willard. On the whole, Walter, judging from the newspaper pictures,|Then comes his removal to Danbridge and his meeting and later his engagement with Miss Willard. On the whole, Walter, judging from the newspaper pictures,
poisoned_pen_01_f000034|Alma Willard is quite the equal of Vera Lytton for looks, only of a different style of beauty.|Alma Willard is quite the equal of Vera Lytton for looks, only of a different style of beauty.
poisoned_pen_01_f000035|Oh, well, we shall see. Vera decided to spend the spring and summer at Danbridge in the bungalow of her friend, Missis Boncour, the novelist. That's when things began to happen.|Oh, well, we shall see. Vera decided to spend the spring and summer at Danbridge in the bungalow of her friend, Missis Boncour, the novelist. That's when things began to happen.
poisoned_pen_01_f000036|Yes, I put in, when you come to know Danbridge as I did after that summer when you were abroad, you'll understand, too. Everybody knows everybody else's business.|Yes, I put in, when you come to know Danbridge as I did after that summer when you were abroad, you'll understand, too. Everybody knows everybody else's business.
poisoned_pen_01_f000037|It is the main occupation of a certain set, and the per-capita output of gossip is a record that would stagger the census bureau.|It is the main occupation of a certain set, and the per-capita output of gossip is a record that would stagger the census bureau.
poisoned_pen_01_f000038|Still, you can't get away from the note, Craig. There it is, in Dixon's own handwriting, even if he does deny it: This will cure your headache.|Still, you can't get away from the note, Craig. There it is, in Dixon's own handwriting, even if he does deny it: This will cure your headache.
poisoned_pen_01_f000039|doctor Dixon. That's a damning piece of evidence.|doctor Dixon. That's a damning piece of evidence.
poisoned_pen_01_f000040|Quite right, he agreed hastily; the note was queer, though, wasn't it? They found it crumpled up in the jar of ammonia. Oh, there are lots of problems the newspapers have failed to see the significance of,|Quite right, he agreed hastily; the note was queer, though, wasn't it? They found it crumpled up in the jar of ammonia. Oh, there are lots of problems the newspapers have failed to see the significance of,
poisoned_pen_01_f000041|let alone trying to follow up.|let alone trying to follow up.
poisoned_pen_01_f000042|Our first visit in Danbridge was to the prosecuting attorney, whose office was not far from the station on the main street.|Our first visit in Danbridge was to the prosecuting attorney, whose office was not far from the station on the main street.
poisoned_pen_01_f000043|Craig had wired him, and he had kindly waited to see us, for it was evident that Danbridge respected Senator Willard and every one connected with him.|Craig had wired him, and he had kindly waited to see us, for it was evident that Danbridge respected Senator Willard and every one connected with him.
poisoned_pen_01_f000044|Would it be too much to ask just to see that note that was found in the Boncour bungalow? asked Craig.|Would it be too much to ask just to see that note that was found in the Boncour bungalow? asked Craig.
poisoned_pen_01_f000045|The prosecutor, an energetic young man, pulled out of a document-case a crumpled note which had been pressed flat again. On it in clear, deep black letters were the words, just as reported:|The prosecutor, an energetic young man, pulled out of a document-case a crumpled note which had been pressed flat again. On it in clear, deep black letters were the words, just as reported:
poisoned_pen_01_f000046|This will cure your headache.|This will cure your headache.
poisoned_pen_01_f000047|doctor Dixon.|doctor Dixon.
poisoned_pen_01_f000048|How about the handwriting? asked Kennedy.|How about the handwriting? asked Kennedy.
poisoned_pen_01_f000049|The lawyer pulled out a number of letters. I'm afraid they will have to admit it, he said with reluctance, as if down in his heart he hated to prosecute Dixon.|The lawyer pulled out a number of letters. I'm afraid they will have to admit it, he said with reluctance, as if down in his heart he hated to prosecute Dixon.
