the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_01_f000002|I believe two-thirds of the earth's surface is covered with water.|I believe two-thirds of the earth's surface is covered with water.
the_sea_fairies_01_f000003|What people inhabit this water has always been a subject of curiosity to the inhabitants of the land.|What people inhabit this water has always been a subject of curiosity to the inhabitants of the land.
the_sea_fairies_01_f000004|Strange creatures come from the seas at times, and perhaps in the ocean depths are many, more strange than mortal eye has ever gazed upon.|Strange creatures come from the seas at times, and perhaps in the ocean depths are many, more strange than mortal eye has ever gazed upon.
the_sea_fairies_01_f000005|This story is fanciful.|This story is fanciful.
the_sea_fairies_01_f000006|In it the sea people talk and act much as we do, and the mermaids especially are not unlike the fairies with whom we have learned to be familiar.|In it the sea people talk and act much as we do, and the mermaids especially are not unlike the fairies with whom we have learned to be familiar.
the_sea_fairies_01_f000007|Yet they are real sea people, for all that, and with the exception of Zog the Magician they are all supposed to exist in the oceands depths.|Yet they are real sea people, for all that, and with the exception of Zog the Magician they are all supposed to exist in the oceands depths.
the_sea_fairies_01_f000008|I am told that some very learned people deny that mermaids or sea-serpents have ever inhabited the oceans,|I am told that some very learned people deny that mermaids or sea-serpents have ever inhabited the oceans,
the_sea_fairies_01_f000009|but it would be very difficult for them to prove such an assertion unless they had lived under the water as Trot and Captain Bill did in this story.|but it would be very difficult for them to prove such an assertion unless they had lived under the water as Trot and Captain Bill did in this story.
the_sea_fairies_01_f000010|I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences.|I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences.
the_sea_fairies_01_f000011|The ocean has always appealed to me as a veritable wonderland, and this story has been suggested to me many times by my young correspondents in their letters.|The ocean has always appealed to me as a veritable wonderland, and this story has been suggested to me many times by my young correspondents in their letters.
the_sea_fairies_01_f000012|Indeed, a good many children have implored me to write something about the mermaids, and I have willingly granted the request.|Indeed, a good many children have implored me to write something about the mermaids, and I have willingly granted the request.
the_sea_fairies_01_f000013|L. FRANK BAUM.|L. FRANK BAUM.
the_sea_fairies_01_f000014|Hollywood, 1911.|Hollywood, nineteen eleven.
the_sea_fairies_01_f000015|CHAPTER 1.|CHAPTER one.
the_sea_fairies_01_f000016|TROT AND Captain BILL.|TROT AND Captain BILL.
the_sea_fairies_01_f000017|Nobody, said Captain Bill solemnly, ever saw a mermaid and lived to tell the tale.|Nobody, said Captain Bill solemnly, ever saw a mermaid and lived to tell the tale.
the_sea_fairies_01_f000018|Why not? asked Trot, looking earnestly up into the old sailor's face.|Why not? asked Trot, looking earnestly up into the old sailor's face.
the_sea_fairies_01_f000019|They were seated on a bench built around a giant acacia tree that grew just at the edge of the bluff.|They were seated on a bench built around a giant acacia tree that grew just at the edge of the bluff.
the_sea_fairies_01_f000020|Below them rolled the blue waves of the great Pacific.|Below them rolled the blue waves of the great Pacific.
the_sea_fairies_01_f000021|A little way behind them was the house, a neat frame cottage painted white and surrounded by huge eucalyptus and pepper trees.|A little way behind them was the house, a neat frame cottage painted white and surrounded by huge eucalyptus and pepper trees.
the_sea_fairies_01_f000022|Still farther behind thata quarter of a mile distant but built upon a bend of the coastwas the village, overlooking a pretty bay.|Still farther behind thata quarter of a mile distant but built upon a bend of the coastwas the village, overlooking a pretty bay.
the_sea_fairies_01_f000023|Captain Bill and Trot came often to this tree to sit and watch the ocean below them.|Captain Bill and Trot came often to this tree to sit and watch the ocean below them.
the_sea_fairies_01_f000024|The sailor man had one meat leg and one hickory leg, and he often said the wooden one was the best of the two.|The sailor man had one meat leg and one hickory leg, and he often said the wooden one was the best of the two.
the_sea_fairies_01_f000025|Once Captain Bill had commanded and owned the Anemone, a trading schooner that plied along the coast; and in those days Charlie Griffiths, who was Trot's father,|Once Captain Bill had commanded and owned the Anemone, a trading schooner that plied along the coast; and in those days Charlie Griffiths, who was Trot's father,
the_sea_fairies_01_f000026|had been the Captain's mate.|had been the Captain's mate.
the_sea_fairies_01_f000027|But ever since Captain Bill's accident, when he lost his leg, Charlie Griffiths had been the captain of the little schooner while his old master lived peacefully ashore with the Griffiths family.|But ever since Captain Bill's accident, when he lost his leg, Charlie Griffiths had been the captain of the little schooner while his old master lived peacefully ashore with the Griffiths family.
the_sea_fairies_01_f000028|This was about the time Trot was born, and the old sailor became very fond of the baby girl.|This was about the time Trot was born, and the old sailor became very fond of the baby girl.
